City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
544,Champerico,GT,89.73,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
554,Bontang,ID,81.81,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
558,Niksic,ME,80.76,few clouds,42.7731,18.9445,Hotel Trebjesa
562,Kalabo,ZM,80.37,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
566,Cam Ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
577,Onalaska,US,75.29,few clouds,43.8844,-91.2351,Stoney Creek Hotel La Crosse - Onalaska
578,Menongue,AO,78.66,clear sky,-14.6585,17.691,Ritz Lauca
582,San Pedro,PH,85.23,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
583,Banda Aceh,ID,82.2,overcast clouds,5.5577,95.3222,Sulthan Hotel International
584,Samarai,PG,79.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
585,Kalmunai,LK,81.9,overcast clouds,7.4167,81.8167,VS Villa
586,Mwene-Ditu,CD,83.5,overcast clouds,-7.0,23.45,Hôtel Kamas
589,Jiblah,YE,76.95,broken clouds,13.9216,44.1467,Tiger Tower Hotel
590,Bagado,CO,81.99,broken clouds,5.4116,-76.4152,Hotel San Jose
593,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
595,The Valley,AI,85.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
596,Salalah,OM,87.89,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
600,Limon,CR,75.09,broken clouds,10.0,-83.0333,Hotel Playa Bonita
602,Biak,ID,76.57,overcast clouds,-0.9131,122.8766,Penginapan Kim
603,Shenzhen,CN,86.22,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
605,Prainha,BR,85.1,overcast clouds,-1.8,-53.48,Hotel Teixeira
606,Dawei,MM,78.31,broken clouds,14.0833,98.2,Hotel Dawei
607,Natal,BR,86.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
614,Omboue,GA,82.81,light rain,-1.5746,9.2618,Hotel Olako
617,Paragominas,BR,86.31,light rain,-2.9667,-47.4833,.
618,Kushmurun,KZ,89.24,scattered clouds,52.4503,64.6311,Gostinitsa Pri Depo
619,Ternate,ID,81.97,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
620,Namatanai,PG,79.32,moderate rain,-3.6667,152.4333,Namatanai Hotel
624,Pilar,BR,84.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
627,Savannakhet,LA,76.17,moderate rain,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
635,Namibe,AO,82.36,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
636,Kruisfontein,ZA,82.02,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
640,Hobe Sound,US,82.98,few clouds,27.0595,-80.1364,Floridays RV Park
641,Soyo,AO,83.68,overcast clouds,-6.1349,12.3689,Hotel Mpampa
642,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
645,Buchanan,LR,84.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
649,Augusto Correa,BR,87.17,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
653,Santo Antonio Do Ica,BR,85.21,broken clouds,-3.1022,-67.9397,Hotel Fogaça
659,Humaita,BR,83.61,light rain,-7.5061,-63.0208,Corrêa Hotel
660,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
661,Beitbridge,ZW,75.9,clear sky,-22.2167,30.0,Beitbridge Express Hotel
662,Amahai,ID,77.13,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
663,Tripoli,LY,82.87,overcast clouds,32.8752,13.1875,Hotel Al-Safwa
664,Santarem,BR,82.53,broken clouds,-2.4431,-54.7083,Ecotur Lodge
670,Orbetello,IT,75.38,overcast clouds,42.4408,11.2196,Argentario Golf Resort & Spa
674,Can,TR,83.05,clear sky,40.0333,27.0524,Can Ogretmenevi
675,Kismayo,SO,80.85,clear sky,-0.3582,42.5454,Agan-Hotel
676,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
677,Zambezi,ZM,80.29,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
680,Itarema,BR,85.71,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
681,Kendari,ID,76.17,overcast clouds,-3.945,122.4989,Hotel Wixel
685,Yasnyy,RU,87.57,clear sky,51.0333,59.8742,Gostinitsa
687,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
693,Kachiry,KZ,78.94,overcast clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
696,Sabzevar,IR,87.08,scattered clouds,36.2126,57.6819,پزشکی قانونی سبزوار
700,Kroya,ID,79.2,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
703,Lagunas,PE,76.59,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
704,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
